SWAP_PROGRAM,BLOCK_ID,BLOCK_TIMESTAMP,TX_ID,PROGRAM_ID,SWAPPER,SWAP_FROM_MINT,SWAP_FROM_SYMBOL,SWAP_FROM_AMOUNT,SWAP_FROM_AMOUNT_USD,SWAP_TO_MINT,SWAP_TO_SYMBOL,SWAP_TO_AMOUNT,SWAP_TO_AMOUNT_USD,_LOG_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP,EZ_SWAPS_ID
meteora dlmm pools program,238816184,2023-12-30 02:53:27.000,5uJfa19du51hPCjkr9cHxpJNdk9wAbRCmKpKV2cebvYetKahUSYTtNsARzQq47qLpHaS9ruffwFjULsTLkHUztEF,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,95PWQYG96KmCvrAy52c8rJBKm85kTtdrbkdNaBaGBAnr,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,SHDW,1.776101529,2.1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,2.102422,2.1,5uJfa19du51hPCjkr9cHxpJNdk9wAbRCmKpKV2cebvYetKahUSYTtNsARzQq47qLpHaS9ruffwFjULsTLkHUztEF-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,f432179cee67feddca29331739f85ce4
meteora dlmm pools program,238863921,2023-12-30 08:58:54.000,4AxwvoZiBBvQFFPgEp1hU6kAHQ9ZtaeFWEpVD6deWcc9eG2u3bRHEYitrw32fMuzkrRo6TBuaU21EphbW1BVwCGj,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,CapuXNQoDviLvU1PxFiizLgPNQCxrsag1uMeyk6zLVps,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,90582.869,1.3,So11111111111111111111111111111111111111112,SOL,0.012362399,1.29,4AxwvoZiBBvQFFPgEp1hU6kAHQ9ZtaeFWEpVD6deWcc9eG2u3bRHEYitrw32fMuzkrRo6TBuaU21EphbW1BVwCGj-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,2b13d9dffe916ac97ef64da38e6ef59f
meteora dlmm pools program,238962086,2023-12-30 21:44:56.000,4dHuiaVqdmsNArSvZVPVS2C691QVXjR4mbmtzFoGdu3b5i8dsbcrxm7NrPKQepQKBuZZimPX5VnGP2qiYVeJZyeL,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,BQ72nSv9f3PRyRKCBnHLVrerrv37CYTHm5h3s9VSGQDV,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,600000,8.55,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,8.447342,8.44,4dHuiaVqdmsNArSvZVPVS2C691QVXjR4mbmtzFoGdu3b5i8dsbcrxm7NrPKQepQKBuZZimPX5VnGP2qiYVeJZyeL-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,d3b57e01231fe414f05867cd7d75f74a
meteora dlmm pools program,238940275,2023-12-30 18:54:31.000,2YAmpLmUXpCNMiwKZb6TqTXR46vvyEULSMmabQMjVtKc9qyvuYb3B7KJEgwLdcG9GmiNjU118bfBLw5TFgGSz9QX,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,GGztQqQ6pCPaJQnNpXBgELr5cs3WwDakRbh1iEMzjgSJ,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,240.158862,240.02,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,240.086266,239.96,2YAmpLmUXpCNMiwKZb6TqTXR46vvyEULSMmabQMjVtKc9qyvuYb3B7KJEgwLdcG9GmiNjU118bfBLw5TFgGSz9QX-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,8167da041cd35ba1b1d3dadf906ede2a
meteora dlmm pools program,238815591,2023-12-30 02:48:56.000,5uGvV8CaNAPAdCcKUi29rrLEi4KpAwUr31wmX5ufwYf2BxnaM57zG81M4BEzmfhC7xoMfUjLZSEAzcnSLfu2oRbt,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,6LXutJvKUw8Q5ue2gCgKHQdAN4suWW8awzFVC6XCguFx,So11111111111111111111111111111111111111112,SOL,0.009480538,1.01,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,ETH,0.00043616,1,5uGvV8CaNAPAdCcKUi29rrLEi4KpAwUr31wmX5ufwYf2BxnaM57zG81M4BEzmfhC7xoMfUjLZSEAzcnSLfu2oRbt-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,d6e0705224b94f1f90fc71fc31488f7e
meteora dlmm pools program,238941452,2023-12-30 19:04:01.000,2AWjEGLpqYTvV1SATe1MiNG4dFLyJgJ8BJePeYy5GVdXkQTAD7xA3DBarP2ZvkrqQZUK9APQtc3GJPCqwbKEKLzQ,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,4xDsmeTWPNjgSVSS1VTfzFq3iHZhp77ffPkAmkZkdu71,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,32.975487,32.96,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,32.965509,32.99,2AWjEGLpqYTvV1SATe1MiNG4dFLyJgJ8BJePeYy5GVdXkQTAD7xA3DBarP2ZvkrqQZUK9APQtc3GJPCqwbKEKLzQ-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,59fcd7fbf6fd0abdf1c6c81cfe2b99f4
meteora dlmm pools program,238797738,2023-12-30 00:31:10.000,5NaV16v5aFo1eCmB1nDUfSDvpzsNVpCkTLVDAZKMqj8BoJwECoNBUYqDt4Uw6uJPy5QzCHHtHHBNWwktf8FbsGGW,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,2MFoS3MPtvyQ4Wh4M9pdfPjz6UhVoNbFbGJAskCPCj3h,So11111111111111111111111111111111111111112,SOL,0.9,94.75,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,95.391015,95.33,5NaV16v5aFo1eCmB1nDUfSDvpzsNVpCkTLVDAZKMqj8BoJwECoNBUYqDt4Uw6uJPy5QzCHHtHHBNWwktf8FbsGGW-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,1c458fc42e2836c4537ca98dfbf93065
meteora dlmm pools program,238797587,2023-12-30 00:29:54.000,9miuFWV5fFBf4PVVDfMn78QnnkTnyje2JTAFFuVCkXKpa9hrkNRGuLBivFLUNWNvU26W5jLZo3UnbtLrGzgFsoJ,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,9nnLbotNTcUhvbrsA6Mdkx45Sm82G35zo28AqUvjExn8,So11111111111111111111111111111111111111112,SOL,0.088669902,9.34,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,9.40564,9.4,9miuFWV5fFBf4PVVDfMn78QnnkTnyje2JTAFFuVCkXKpa9hrkNRGuLBivFLUNWNvU26W5jLZo3UnbtLrGzgFsoJ-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,36f06fed19fff70256ce21a6bea46a4f
meteora dlmm pools program,238799391,2023-12-30 00:44:04.000,5qodLT3X5uxRAFMeTbku8BiH57D8g3dD5EU8yVmQUxhmopRufcpxRpWvHH1LtyaQva1QZb9oh2f9xKQVfLGEXswg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,4xDsmeTWPNjgSVSS1VTfzFq3iHZhp77ffPkAmkZkdu71,So11111111111111111111111111111111111111112,SOL,0.011353358,1.2,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,1.206189,1.21,5qodLT3X5uxRAFMeTbku8BiH57D8g3dD5EU8yVmQUxhmopRufcpxRpWvHH1LtyaQva1QZb9oh2f9xKQVfLGEXswg-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,2143bade45e8f28ec92498a71dda71a9
meteora dlmm pools program,238804526,2023-12-30 01:24:16.000,2WE1NW7xAfGeNfnYzNK3sCf67bi7rSh48pWmhVNjZKXRpQu3XazQkQUWKRYmhuChLZ4FNKJdmk6H3PcysBBFpT7B,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,6U91aKa8pmMxkJwBCfPTmUEfZi6dHe7DcFq2ALvB2tbB,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,58.590049,58.65,So11111111111111111111111111111111111111112,SOL,0.549974129,58.12,2WE1NW7xAfGeNfnYzNK3sCf67bi7rSh48pWmhVNjZKXRpQu3XazQkQUWKRYmhuChLZ4FNKJdmk6H3PcysBBFpT7B-1-meteora dlmm pools program,2024-04-30 15:51:53.411,2024-04-30 15:51:53.411,c3adabaa24c3be675d86cc6a089779dd
